nombre,direccion,href
IPS Chillan,Libertad 418,"https://www.google.com/maps/dir/-36.6057178,-72.1073431/@-36.6057178,-72.1073431,17z"
IPS Chimbarongo,Pisagua 106,"https://www.google.com/maps/dir/-34.7098536,-71.043758/@-34.7098536,-71.043758,17z"
IPS Cochrane,Teniente Merino 498,https://www.google.com/maps/dir/Teniente%20Merino%20498
IPS Coelemu,Manuel Antonio Matta N°602,"https://www.google.com/maps/dir/-36.4875052,-72.7066478/@-36.4875052,-72.7066478,17z"
IPS Colina,Avda. La Concepción 575-B,"https://www.google.com/maps/dir/-33.2037592,-70.682046/@-33.2037592,-70.682046,17z"
IPS Collipulli,Alcázar 786,https://www.google.com/maps/dir/Alc%C3%A1zar%20786
IPS Combarbalá,Calle Comercio N° 150,https://www.google.com/maps/dir/Calle%20Comercio%20N%C2%B0%20150
IPS Concepción,Castellón 435 Piso 1,https://www.google.com/maps/dir/Castell%C3%B3n%20%20435%20%20Piso%201
IPS Conchalí,Avda. Dorsal 1904,"https://www.google.com/maps/dir/-33.3985652,-70.6723657/@-33.3985652,-70.6723657,17z"
IPS Concón,Avenida Magallanes N° 1050 Local 6 y 7. Centro Comercial,https://www.google.com/maps/dir/Avenida%20Magallanes%20N%C2%B0%201050%20Local%206%20y%207.%20Centro%20Comercial
IPS Constitucion,Portales 80,"https://www.google.com/maps/dir/-35.328548,-72.4103377/@-35.328548,-72.4103377,17z"
IPS Copiapo,Atacama # 443 piso 1,"https://www.google.com/maps/dir/-27.3659802,-70.3379036/@-27.3659802,-70.3379036,17z"
IPS Coquimbo,Calle Melgarejo N° 980,https://www.google.com/maps/dir/Calle%20Melgarejo%20N%C2%B0%20980
IPS Coronel,Remigio Castro 121,"https://www.google.com/maps/dir/-37.0265225,-73.1495666/@-37.0265225,-73.1495666,17z"
IPS Corral,Miraflores S.N,https://www.google.com/maps/dir/Miraflores%20S.N
IPS Coyhaique,Arturo Prat 580,https://www.google.com/maps/dir/Arturo%20Prat%20580
IPS Coñaripe,Guido Ranberga 420,https://www.google.com/maps/dir/Guido%20Ranberga%20420
IPS Cunco,Avda. Santa Maria 285,https://www.google.com/maps/dir/Avda.%20Santa%20Maria%20285
IPS Curacautin,O'Higgins 908,https://www.google.com/maps/dir/O'Higgins%20908
IPS Curacaví,Germán Riesco 219 Local 4,"https://www.google.com/maps/dir/-33.4015425,-71.1322146/@-33.4015425,-71.1322146,17z"
IPS Curanilahue,Arturo Prat 1370,"https://www.google.com/maps/dir/-37.4766134,-73.3506316/@-37.4766134,-73.3506316,17z"
IPS Curepto,Reverendo José Cappel S/N,"https://www.google.com/maps/dir/-35.0937334,-72.0193858/@-35.0937334,-72.0193858,17z"
IPS Curico,Menbrillar S/N Esq.Villota,https://www.google.com/maps/dir/Menbrillar%20S/N%20Esq.Villota
IPS Diego de Almagro,Av. Juan Martines N° 907,"https://www.google.com/maps/dir/-26.3912188,-70.0463905/@-26.3912188,-70.0463905,17z"
IPS El Bosque,Avenida Alejandro Guzmán 925,"https://www.google.com/maps/dir/-33.5564794,-70.6649633/@-33.5564794,-70.6649633,17z"
IPS El Carmen,Baquedano 385,"https://www.google.com/maps/dir/-36.8972462,-72.0288827/@-36.8972462,-72.0288827,17z"
IPS El Quisco,Calle Libertad 208,https://www.google.com/maps/dir/Calle%20Libertad%20208
IPS El Salvador,Av. Atacama S/N,"https://www.google.com/maps/dir/-26.2476369,-69.6284976/@-26.2476369,-69.6284976,17z"
IPS Estación Central,Salvador San Fuentes 2648,"https://www.google.com/maps/dir/-33.451301,-70.6752629/@-33.451301,-70.6752629,17z"
IPS Freirina,Calle Templo S/N,"https://www.google.com/maps/dir/-28.5100774,-71.0856291/@-28.5100774,-71.0856291,17z"
IPS Fresia,San José Esq. Irarrázabal S/N,https://www.google.com/maps/dir/San%20Jos%C3%A9%20Esq.%20Irarr%C3%A1zabal%20S/N
IPS Frutillar,Carlos Richter 153,https://www.google.com/maps/dir/Carlos%20Richter%20153
IPS Futaleufú,Pedro Aguirre Cerda 330,https://www.google.com/maps/dir/Pedro%20Aguirre%20Cerda%20330
IPS Futrono,Pedro Leodegario 43,https://www.google.com/maps/dir/Pedro%20Leodegario%20%2043
IPS Gorbea,M. Mata 497,https://www.google.com/maps/dir/M.%20Mata%20497
IPS Hualañe,Ignacio Carrera Pinto S/N.,"https://www.google.com/maps/dir/-34.9772642,-71.8066401/@-34.9772642,-71.8066401,17z"
IPS Huasco,Craig S/N,"https://www.google.com/maps/dir/-28.4646336,-71.223662/@-28.4646336,-71.223662,17z"
IPS Huechuraba,Recoleta 5640,"https://www.google.com/maps/dir/-33.3739806,-70.6395347/@-33.3739806,-70.6395347,17z"
IPS Illapel,Constitución N° 50,https://www.google.com/maps/dir/Constituci%C3%B3n%20N%C2%B0%2050
IPS Independencia,Dardignac N°485,"https://www.google.com/maps/dir/-33.432001,-70.6482422/@-33.432001,-70.6482422,17z"
IPS Iquique,Tarapaca N° 568,"https://www.google.com/maps/dir/-20.213915,-70.1517757/@-20.213915,-70.1517757,17z"
IPS La Calera,"Calle J.J. Pérez N°595 AL 596,  Centro Comercial Puerta Norte","https://www.google.com/maps/dir/Calle%20J.J.%20P%C3%A9rez%20N%C2%B0595%20AL%20596,%C2%A0%20Centro%20Comercial%20Puerta%20Norte"
IPS La Florida,Walker Martínez 312,"https://www.google.com/maps/dir/-33.5223732,-70.5969166/@-33.5223732,-70.5969166,17z"
IPS La Granja,Av. Combarbalá 0536,"https://www.google.com/maps/dir/-33.5295228,-70.6227778/@-33.5295228,-70.6227778,17z"
IPS La Ligua,Calle Ortiz de Rosas N° 155,https://www.google.com/maps/dir/Calle%20Ortiz%20de%20Rosas%20N%C2%B0%20155
IPS La Serena,Avenida Balmaceda N° 696,https://www.google.com/maps/dir/Avenida%20Balmaceda%20N%C2%B0%20696
IPS La Unión,Esmeralda 580,https://www.google.com/maps/dir/Esmeralda%20580
IPS Lago Ranco,Santiago 407,https://www.google.com/maps/dir/Santiago%20407
IPS Laja,O'Higgins 137 -B,"https://www.google.com/maps/dir/-37.2810715,-72.715801/@-37.2810715,-72.715801,17z"
IPS Lampa,Sargento Aldea 840,"https://www.google.com/maps/dir/-33.2850282,-70.878398/@-33.2850282,-70.878398,17z"
IPS Lanco,Libertad 110,https://www.google.com/maps/dir/Libertad%20110
IPS Las Condes,Av. Américo Vespucio 100,"https://www.google.com/maps/dir/-33.4152158,-70.5856711/@-33.4152158,-70.5856711,17z"
IPS Lebu,Freire 510,"https://www.google.com/maps/dir/-37.6098901,-73.6576072/@-37.6098901,-73.6576072,17z"
IPS Limache,Calle Condell N° 47,https://www.google.com/maps/dir/Calle%20Condell%20N%C2%B0%2047
