region,comuna,titulo,comunas_atiende,direccion,horario
region de coquimbo,andacollo,direccion regional la serena,"comunas: la serena, la higuera, paihuano, andacollo, vicuna.","av. matta 461, edif. publico ""tucapel jimenez"", of. 202, la serena.",horario de atencion: lunes a viernes 8:45 a 13:45 hrs.
region de coquimbo,canela,unidad de illapel,"comunas: illapel, salamanca, los vilos, canela.","independencia 160, illapel.",horario de atencion: lunes a viernes 8:45 a 13:45 hrs.
region de coquimbo,combarbala,unidad de ovalle,"comunas: monte patria, ovalle, punitaqui, combarbala, rio hurtado.","vicuna mackenna 310, oficina 102, ovalle.",horario de atencion: lunes a viernes 8:45 a 13:45 hrs.
region de coquimbo,coquimbo,unidad de coquimbo,comunas: coquimbo,melgarejo 655,horario de atencion: lunes a viernes 8:45 a 13:45 hrs
region de valparaiso,algarrobo,unidad de san antonio,"comunas: san antonio, santo domingo, navidad, cartagena, el tabo, el quisco, algarrobo.","av. barros luco 2390, san antonio.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de valparaiso,cabildo,unidad de la ligua,"comunas: la ligua, petorca, cabildo, zapallar, papudo.","portales 367, la ligua.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de valparaiso,calle larga,unidad de los andes,"comunas: los andes, calle larga, san esteban, rinconada.","avenida argentina n°620, los andes.",horario de atencion: lunes a viernes 9:00 a 13:30 hrs.
region de valparaiso,casablanca,direccion regional valparaiso,"comunas: valparaiso, casablanca, juan fernandez, isla de pascua.","melgarejo 667, valparaiso.",horario de atencion: lunes a viernes 9:00 a 13:30 hrs.
region de valparaiso,catemu,unidad de san felipe,"comunas: san felipe, panquehue, catemu, putaendo, santa maria, llay llay.","arturo prat 1032, piso 1, san felipe.",horario de atencion: lunes a viernes 9:00 a 13:30 hrs.
region de valparaiso,concon,unidad de vina del mar,"comunas: vina del mar, concon, quintero y puchuncavi.","arlegui 525, vina del mar.",horario de atencion: lunes a viernes 9:00 a 13:30 hrs.
region de valparaiso,hijuelas,unidad de quillota,"comunas: quillota, nogales, hijuelas, la calera, la cruz, limache, olmue.","o'higgins 320, quillota.",horario de atencion: lunes a viernes 9:00 a 13:30 hrs.
region de valparaiso,puchuncavi,unidad de vina del mar,"comunas: vina del mar, concon, quintero y puchuncavi.","arlegui 525, vina del mar.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de valparaiso,quilpue,unidad de villa alemana,"comunas: villa alemana, quilpue.","santiago 503-b, villa alemana.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de valparaiso,quintero,unidad de vina del mar,"comunas: vina del mar, concon, quintero y puchuncavi.","arlegui 525, vina del mar.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region metropolitana,alhue,unidad de melipilla,"comunas: melipilla, san pedro, alhue, maria pinto.","serrano 334, melipilla.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region metropolitana,buin,unidad de buin,"comunas: buin, paine","bernardino bravo n° 337, buin",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region metropolitana,calera de tango,unidad de san bernardo,"comunas: san bernardo, calera de tango, el bosque.","freire 473, san bernardo.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region metropolitana,cerrillos,unidad de maipu,"comunas: maipu, cerrillos, padre hurtado, penaflor, talagante, el monte, isla de maipo.","avenida pajaritos 3195, local 7 y 8, maipu.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region metropolitana,cerro navia,direccion regional santiago poniente,"comunas: cerro navia, curacavi, estacion central, lo prado, pudahuel, quinta normal, renca.","romero 3226, santiago.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region metropolitana,colina,direccion regional santiago norte,"comunas: independencia, recoleta, huechuraba, conchali, quilicura, colina, lampa y til til.","avenida recoleta 672 - 676, recoleta.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region metropolitana,la cisterna,direccion regional santiago sur,"comunas: san miguel, la cisterna, san joaquin, pedro aguirre cerda, lo espejo, la granja, la pintana, san ramon.","ramon subercaseaux 1273, san miguel.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region metropolitana,la florida,unidad de la florida,"comunas: la florida, puente alto, pirque, san jose de maipo.","vicuna mackenna poniente 7390, paradero 14, la florida.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region metropolitana,la reina,unidad de nunoa,"comunas: nunoa, la reina, macul, penalolen.","avda. irarrazaval 2266, nunoa.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region metropolitana,lampa,direccion regional santiago norte,"comunas: independencia, recoleta, huechuraba, conchali, quilicura, colina, lampa y til til.","avenida recoleta 672 - 676, recoleta.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region metropolitana,las condes,direccion regional santiago oriente,"comunas: las condes, lo barnechea, vitacura.","general del canto 281, providencia.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
