region,oficina,direccion,horario,href
araucania,tolten,bernardo o'higgins n°440,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Bernardo+O%27Higgins+N%C2%B0440,-39.176939,-73.168117"
araucania,traiguen,basilio urrutia n°914,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Basilio+Urrutia+N%C2%B0914,-38.247146,-72.667072"
araucania,trovolhue,romilio adriazola n° 138,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Romilio+Adriazola++N%C2%B0+138,-38.629879,-73.323097"
araucania,victoria,"lagos n°680, 2° piso",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Lagos+N%C2%B0680%2C+2%C2%B0+piso,-38.234569,-72.331190"
araucania,vilcun,freire n°295,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Freire+N%C2%B0295,-38.670651,-72.224164"
araucania,villarrica,julio zegers n°611,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Julio+Zegers+N%C2%B0611,-39.290250,-72.231014"
arica y parinacota,arica,"san martin n°800, 1° piso",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?San+Martin+N%C2%B0800%2C+1%C2%B0+Piso,-18.479100,-70.312618"
arica y parinacota,belen,baquedano n° 66,"martes, miercoles y jueves de 17:00 a 22:00 hrs.","https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Baquedano+N%C2%B0+66,-18.467530,-69.514978"
arica y parinacota,codpa,los cateadores s/n,lunes a viernes de 08:30 a 17:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Los+Cateadores+s%2Fn,-18.833627,-69.745299"
arica y parinacota,putre,av. circunvalacion s/n,lunes a jueves de 08:30 a 13:00 hrs y de 14:00 a 17:30 hrs. viernes de 08:30 a 13:00 y de 14:00 a 16:30 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Circunvalaci%C3%B3n+s%2Fn,-18.198989,-69.558671"
arica y parinacota,so cardenal raul silva henriquez arica,"chorrillos n°805, 2° piso",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Chorrillos+N%C2%B0805%2C+2%C2%B0+Piso,-18.447784479812096,-70.29466930953981"
arica y parinacota,so hospital juan noe crevani,av. 18 de septiembre n° 1000,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+18+de+Septiembre+N%C2%B0+1000,-18.4825567,-70.3133651"
arica y parinacota,visviri,arturo perez canto n° 86,lunes a viernes de 08:30 a 17:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Arturo+P%C3%A9rez+Canto+N%C2%B0+86,-17.594502,-69.481067"
atacama,alto del carmen,31 de enero s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?31+de+Enero+s%2Fn,-28.758715,-70.485611"
atacama,caldera,av. batallones de atacama n° 307,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Batallones+de+Atacama+N%C2%B0+307,-27.069157,-70.819934"
atacama,chanaral,buin n° 462,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Buin+N%C2%B0+462,-26.347734,-70.620176"
atacama,copiapo,"los carreras con rancagua, edificio mop",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Los+Carreras+con+Rancagua%2C+Edificio+MOP,-27.361540,-70.338555"
atacama,diego de almagro,juan martinez n° 810,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Juan+Mart%C3%ADnez+N%C2%B0+810,-26.390895,-70.043288"
atacama,domeyko,pedro cuadra s/n junta de vecinos de domeyko,miercoles 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Pedro+Cuadra+s%2Fn+Junta+de+Vecinos+de+Domeyko,-28.954334,-70.890786"
atacama,el salvador,av. el tofo s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+El+Tofo+s%2Fn,-26.247919,-69.629515"
atacama,el transito,camino publico s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Camino+P%C3%BAblico+s%2Fn,-28.876753,-70.281472"
